dataprop,superprop,label,description,seeAlso,definedBy,domain,range,propertyType
ex:hasDeveloper,owl:topDataProperty,hasDeveloper,,,,,,
ex:hasSignificantDigits,owl:topDataProperty,hasSignificantDigits,,,,,,
ex:hasHref,owl:topDataProperty,hasHref,,,,,,
ex:hasResolutionBits,owl:topDataProperty,hasResolutionBits,,,,,,
ex:hasSignificantDigits,owl:topDataProperty,hasSignificantDigits,,,,,,
ex:WOTDataProperties,owl:topDataProperty,WOTDataProperties,,,,,,
ex:multipleOf,ex:WOTDataProperties,multipleOf,,,,,,
ex:hasVersion,,hasVersion,,,,,,
ex:majorVersion,ex:hasVersion,majorVersion,,,,,,
ex:patchVersion,ex:hasVersion,patchVersion,,,,,,
ex:minorVersion,ex:hasVersion,minorVersion,,,,,,
ex:hasResolutionBits,,hasResultionBits,,,,,,
ex:hasFormHref,,hasFormHref,,,,,,